0	953 	99	6596	32.0	26.0
0	953 	99	6596	32.0	26.0


msg->cmd CMD_LIGHT_ON
msg->cmd CMD_LIGHT_ON


msg->cmd CMD_LIGHT_ON
msg->cmd CMD_LIGHT_ON
1	951 	99	6598	32.0	26.0
1	951 	99	6598	32.0	26.0
2	948 	99	6597	31.0	26.0
2	948 	99	6597	31.0	26.0
3	948 	99	6598	31.0	26.0
3	948 	99	6598	31.0	26.0
4	950 	98	6597	31.0	26.0
4	950 	98	6597	31.0	26.0
5	952 	99	6598	32.0	26.0
5	952 	99	6598	32.0	26.0
6	952 	98	6598	32.0	26.0
6	952 	98	6598	32.0	26.0
7	952 	99	6599	32.0	26.0
7	952 	99	6599	32.0	26.0
8	952 	99	6598	32.0	26.0
8	952 	99	6598	32.0	26.0
9	952 	98	6599	32.0	26.0
9	952 	98	6599	32.0	26.0
10	950 	99	6599	32.0	26.0
10	950 	99	6599	32.0	26.0
11	948 	99	6600	31.0	26.0
11	948 	99	6600	31.0	26.0
12	946 	98	6600	31.0	26.0
12	946 	98	6600	31.0	26.0
13	946 	99	6601	31.0	26.0
13	946 	99	6601	31.0	26.0
14	946 	99	6601	31.0	26.0
14	946 	99	6601	31.0	26.0
15	944 	99	6601	31.0	26.0
15	944 	99	6601	31.0	26.0
16	944 	99	6601	31.0	26.0
16	944 	99	6601	31.0	26.0
17	944 	99	6602	31.0	26.0
17	944 	99	6602	31.0	26.0
18	944 	98	6602	31.0	26.0
18	944 	98	6602	31.0	26.0
19	947 	99	6601	31.0	26.0
19	947 	99	6601	31.0	26.0
20	950 	99	6603	32.0	26.0
20	950 	99	6603	32.0	26.0
21	953 	99	6602	32.0	26.0
21	953 	99	6602	32.0	26.0
22	952 	100	6603	32.0	26.0
22	952 	100	6603	32.0	26.0
23	952 	99	6602	32.0	26.0
23	952 	99	6602	32.0	26.0
24	954 	99	6604	32.0	26.0
24	954 	99	6604	32.0	26.0
25	953 	98	6602	32.0	26.0
25	953 	98	6602	32.0	26.0
26	951 	99	6604	32.0	26.0
26	951 	99	6604	32.0	26.0
27	950 	98	6604	32.0	26.0
27	950 	98	6604	32.0	26.0
28	948 	99	6604	31.0	26.0
28	948 	99	6604	31.0	26.0
29	946 	100	6604	31.0	26.0
29	946 	100	6604	31.0	26.0
30	945 	99	6604	31.0	26.0
30	945 	99	6604	31.0	26.0
31	946 	99	6603	31.0	26.0
31	946 	99	6603	31.0	26.0
32	945 	100	6605	31.0	26.0
32	945 	100	6605	31.0	26.0
33	946 	99	6605	31.0	26.0
33	946 	99	6605	31.0	26.0
34	945 	99	6604	31.0	26.0
34	945 	99	6604	31.0	26.0
35	944 	99	6605	31.0	26.0
35	944 	99	6605	31.0	26.0
36	944 	99	6604	31.0	26.0
36	944 	99	6604	31.0	26.0
37	944 	99	6605	31.0	26.0
37	944 	99	6605	31.0	26.0
38	942 	99	6604	31.0	26.0
38	942 	99	6604	31.0	26.0
39	941 	99	6605	31.0	26.0
39	941 	99	6605	31.0	26.0
40	940 	99	6605	31.0	26.0
40	940 	99	6605	31.0	26.0
41	939 	99	6606	31.0	26.0
41	939 	99	6606	31.0	26.0
42	938 	99	6606	31.0	26.0
42	938 	99	6606	31.0	26.0
43	937 	99	6606	31.0	26.0
43	937 	99	6606	31.0	26.0
44	936 	99	6606	31.0	26.0
44	936 	99	6606	31.0	26.0
45	940 	98	6606	31.0	26.0
45	940 	98	6606	31.0	26.0
46	944 	99	6606	31.0	26.0
46	944 	99	6606	31.0	26.0
47	945 	99	6606	31.0	26.0
47	945 	99	6606	31.0	26.0
48	945 	99	6606	31.0	26.0
48	945 	99	6606	31.0	26.0
49	944 	99	6608	31.0	26.0
49	944 	99	6608	31.0	26.0
50	945 	98	6607	31.0	26.0
50	945 	98	6607	31.0	26.0
51	945 	99	6608	31.0	26.0
51	945 	99	6608	31.0	26.0
52	946 	99	6608	31.0	26.0
52	946 	99	6608	31.0	26.0
53	946 	99	6608	31.0	26.0
53	946 	99	6608	31.0	26.0
54	946 	99	6608	31.0	26.0
54	946 	99	6608	31.0	26.0
55	946 	100	6610	31.0	26.0
55	946 	100	6610	31.0	26.0
56	947 	97	6609	31.0	26.0
56	947 	97	6609	31.0	26.0
57	946 	99	6609	31.0	26.0
57	946 	99	6609	31.0	26.0
58	946 	100	6609	31.0	26.0
58	946 	100	6609	31.0	26.0
59	944 	99	6610	31.0	26.0
59	944 	99	6610	31.0	26.0
60	944 	99	6611	31.0	26.0
60	944 	99	6611	31.0	26.0
61	942 	98	6610	31.0	26.0
61	942 	98	6610	31.0	26.0
62	939 	98	6610	31.0	26.0
62	939 	98	6610	31.0	26.0
